time,lcc,eff_norm,weighted_surv
0.000000,1.000000,1.000000,1.000000
1.005025,1.000000,1.000000,1.000000
2.010050,0.680000,0.838241,0.967320
3.015075,0.680000,0.838241,0.967320
4.020101,0.640000,0.829618,0.993464
5.025126,0.640000,0.791054,0.986928
6.030151,0.640000,0.829618,0.993464
7.035176,1.000000,1.000000,1.000000
8.040201,0.580000,0.820679,0.993464
9.045226,0.580000,0.820679,0.993464
10.050251,0.400000,0.693150,0.980392
11.055276,0.500000,0.739649,0.915033
12.060302,0.500000,0.697398,0.882353
13.065327,0.440000,0.635862,0.882353
14.070352,0.500000,0.677224,0.888889
15.075377,0.500000,0.718136,0.862745
16.080402,0.780000,0.869887,0.869281
17.085427,0.780000,0.901783,0.836601
18.090452,0.780000,0.901783,0.836601
19.095477,0.780000,0.869887,0.869281
20.100503,0.840000,0.907102,0.901961
21.105528,0.840000,0.907102,0.901961
22.110553,0.480000,0.741690,0.895425
23.115578,0.340000,0.605500,0.849673
24.120603,0.340000,0.605500,0.849673
25.125628,0.300000,0.580591,0.875817
26.130653,0.180000,0.521460,0.856209
27.135678,0.200000,0.507903,0.797386
28.140704,0.200000,0.542423,0.738562
29.145729,0.200000,0.552103,0.803922
30.150754,0.200000,0.552500,0.738562
31.155779,0.300000,0.616865,0.771242
32.160804,0.300000,0.638134,0.771242
33.165829,0.300000,0.620084,0.836601
34.170854,0.300000,0.576180,0.836601
35.175879,0.300000,0.576180,0.836601
36.180905,0.300000,0.576180,0.836601
37.185930,0.300000,0.629389,0.843137
38.190955,0.300000,0.629389,0.843137
39.195980,0.300000,0.590286,0.843137
40.201005,0.300000,0.590286,0.843137
41.206030,0.300000,0.561136,0.816993
42.211055,0.240000,0.560648,0.810458
43.216080,0.240000,0.541174,0.803922
44.221106,0.240000,0.501683,0.797386
45.226131,0.180000,0.457593,0.790850
46.231156,0.280000,0.548900,0.816993
47.236181,0.280000,0.548900,0.816993
48.241206,0.240000,0.518419,0.784314
49.246231,0.240000,0.546442,0.718954
50.251256,0.240000,0.546442,0.718954
51.256281,0.240000,0.497490,0.712418
52.261307,0.180000,0.440814,0.673203
53.266332,0.180000,0.440814,0.673203
54.271357,0.180000,0.448810,0.607843
55.276382,0.180000,0.448810,0.607843
56.281407,0.180000,0.456969,0.601307
57.286432,0.180000,0.456969,0.601307
58.291457,0.180000,0.456969,0.601307
59.296482,0.180000,0.456969,0.601307
60.301508,0.180000,0.456969,0.601307
61.306533,0.180000,0.456969,0.601307
62.311558,0.160000,0.448086,0.594771
63.316583,0.160000,0.427767,0.588235
64.321608,0.160000,0.427767,0.588235
65.326633,0.160000,0.441173,0.522876
66.331658,0.160000,0.441173,0.522876
67.336683,0.160000,0.441173,0.522876
68.341709,0.140000,0.427971,0.516340
69.346734,0.080000,0.351932,0.483660
70.351759,0.080000,0.351932,0.483660
71.356784,0.080000,0.359056,0.477124
72.361809,0.080000,0.348284,0.470588
73.366834,0.080000,0.359381,0.431373
74.371859,0.080000,0.328357,0.392157
75.376884,0.080000,0.328357,0.392157
76.381910,0.080000,0.328357,0.392157
77.386935,0.080000,0.327852,0.385621
78.391960,0.080000,0.327852,0.385621
79.396985,0.080000,0.270237,0.379085
80.402010,0.080000,0.300263,0.346405
81.407035,0.080000,0.300263,0.346405
82.412060,0.080000,0.289826,0.313725
83.417085,0.080000,0.289826,0.313725
84.422111,0.080000,0.289826,0.313725
85.427136,0.080000,0.289826,0.313725
86.432161,0.080000,0.289826,0.313725
87.437186,0.080000,0.289826,0.313725
88.442211,0.080000,0.289826,0.313725
89.447236,0.080000,0.289826,0.313725
90.452261,0.080000,0.289826,0.313725
91.457286,0.080000,0.289826,0.313725
92.462312,0.080000,0.289826,0.313725
93.467337,0.080000,0.274572,0.281046
94.472362,0.080000,0.311182,0.274510
95.477387,0.080000,0.311182,0.274510
96.482412,0.040000,0.133364,0.267974
97.487437,0.040000,0.133364,0.267974
98.492462,0.040000,0.133364,0.267974
99.497487,0.040000,0.133364,0.267974
100.502513,0.040000,0.076941,0.261438
101.507538,0.040000,0.089764,0.254902
102.512563,0.040000,0.106085,0.248366
103.517588,0.040000,0.106085,0.248366
104.522613,0.040000,0.106085,0.248366
105.527638,0.020000,0.000000,0.241830
106.532663,0.020000,0.000000,0.209150
107.537688,0.020000,0.000000,0.209150
108.542714,0.020000,0.000000,0.209150
109.547739,0.020000,0.000000,0.202614
110.552764,0.020000,0.000000,0.202614
111.557789,0.020000,0.000000,0.130719
112.562814,0.020000,0.000000,0.124183
113.567839,0.020000,0.000000,0.091503
114.572864,0.020000,0.000000,0.091503
115.577889,0.020000,0.000000,0.078431
