time,lcc,eff_norm,weighted_surv
0.000000,1.000000,1.000000,1.000000
0.334448,1.000000,1.000000,1.000000
0.668896,1.000000,1.000000,1.000000
1.003344,1.000000,1.000000,1.000000
1.337793,1.000000,1.000000,1.000000
1.672241,1.000000,1.000000,1.000000
2.006689,1.000000,1.000000,1.000000
2.341137,1.000000,1.000000,1.000000
2.675585,0.980000,1.000000,0.993464
3.010033,0.980000,1.000000,0.993464
3.344482,0.980000,1.000000,0.993464
3.678930,0.980000,1.000000,0.993464
4.013378,0.940000,1.000000,0.921569
4.347826,0.940000,1.000000,0.921569
4.682274,0.940000,1.000000,0.921569
5.016722,0.940000,1.000000,0.921569
5.351171,0.940000,1.000000,0.921569
5.685619,0.940000,1.000000,0.921569
6.020067,0.940000,1.000000,0.921569
6.354515,0.940000,1.000000,0.980392
6.688963,0.940000,1.000000,0.980392
7.023411,0.940000,1.000000,0.980392
7.357860,0.920000,1.000000,0.973856
7.692308,0.920000,1.000000,0.973856
8.026756,0.920000,1.000000,0.973856
8.361204,0.900000,1.000000,0.967320
8.695652,0.860000,1.000000,0.895425
9.030100,0.860000,1.000000,0.895425
9.364548,0.840000,1.000000,0.888889
9.698997,0.840000,1.000000,0.888889
10.033445,0.840000,1.000000,0.888889
10.367893,0.840000,1.000000,0.888889
10.702341,0.820000,1.000000,0.856209
11.036789,0.840000,1.000000,0.862745
11.371237,0.860000,1.000000,0.895425
11.705686,0.860000,1.000000,0.895425
12.040134,0.860000,1.000000,0.895425
12.374582,0.860000,1.000000,0.895425
12.709030,0.860000,1.000000,0.895425
13.043478,0.860000,1.000000,0.895425
13.377926,0.840000,1.000000,0.888889
13.712375,0.840000,1.000000,0.888889
14.046823,0.840000,1.000000,0.888889
14.381271,0.840000,1.000000,0.888889
14.715719,0.860000,1.000000,0.895425
15.050167,0.880000,1.000000,0.901961
15.384615,0.900000,1.000000,0.967320
15.719064,0.920000,1.000000,0.973856
16.053512,0.940000,1.000000,0.980392
16.387960,0.920000,1.000000,0.973856
16.722408,0.920000,1.000000,0.973856
17.056856,0.940000,1.000000,0.980392
17.391304,0.940000,1.000000,0.980392
17.725753,0.920000,1.000000,0.973856
18.060201,0.920000,1.000000,0.973856
18.394649,0.880000,1.000000,0.960784
18.729097,0.900000,1.000000,0.967320
19.063545,0.900000,1.000000,0.967320
19.397993,0.920000,1.000000,0.973856
19.732441,0.900000,1.000000,0.967320
20.066890,0.920000,1.000000,0.973856
20.401338,0.920000,1.000000,0.973856
20.735786,0.880000,1.000000,0.960784
21.070234,0.880000,1.000000,0.960784
21.404682,0.880000,1.000000,0.960784
21.739130,0.880000,1.000000,0.960784
22.073579,0.900000,1.000000,0.967320
22.408027,0.900000,1.000000,0.967320
22.742475,0.900000,1.000000,0.967320
23.076923,0.900000,1.000000,0.967320
23.411371,0.900000,1.000000,0.967320
23.745819,0.860000,1.000000,0.869281
24.080268,0.860000,1.000000,0.869281
24.414716,0.860000,1.000000,0.869281
24.749164,0.860000,1.000000,0.869281
25.083612,0.840000,1.000000,0.862745
25.418060,0.820000,1.000000,0.797386
25.752508,0.820000,1.000000,0.797386
26.086957,0.820000,1.000000,0.797386
26.421405,0.820000,1.000000,0.797386
26.755853,0.820000,1.000000,0.797386
27.090301,0.800000,1.000000,0.764706
27.424749,0.800000,1.000000,0.764706
27.759197,0.800000,1.000000,0.764706
28.093645,0.800000,1.000000,0.764706
28.428094,0.800000,1.000000,0.764706
28.762542,0.760000,1.000000,0.751634
29.096990,0.760000,1.000000,0.751634
29.431438,0.760000,1.000000,0.751634
29.765886,0.760000,1.000000,0.751634
30.100334,0.760000,1.000000,0.751634
30.434783,0.760000,1.000000,0.751634
30.769231,0.760000,1.000000,0.751634
31.103679,0.740000,1.000000,0.745098
31.438127,0.740000,1.000000,0.745098
31.772575,0.740000,1.000000,0.745098
32.107023,0.740000,1.000000,0.745098
32.441472,0.720000,1.000000,0.738562
32.775920,0.720000,1.000000,0.738562
33.110368,0.700000,1.000000,0.732026
33.444816,0.680000,1.000000,0.725490
33.779264,0.680000,1.000000,0.725490
34.113712,0.680000,1.000000,0.725490
34.448161,0.680000,1.000000,0.725490
34.782609,0.660000,1.000000,0.692810
35.117057,0.660000,1.000000,0.692810
35.451505,0.660000,1.000000,0.692810
35.785953,0.660000,1.000000,0.692810
36.120401,0.640000,1.000000,0.686275
36.454849,0.640000,1.000000,0.686275
36.789298,0.620000,1.000000,0.653595
37.123746,0.600000,1.000000,0.588235
37.458194,0.600000,1.000000,0.588235
37.792642,0.580000,1.000000,0.581699
38.127090,0.580000,1.000000,0.581699
38.461538,0.580000,1.000000,0.581699
38.795987,0.560000,1.000000,0.575163
39.130435,0.560000,1.000000,0.575163
39.464883,0.560000,1.000000,0.575163
39.799331,0.560000,1.000000,0.575163
40.133779,0.540000,1.000000,0.568627
40.468227,0.540000,1.000000,0.568627
40.802676,0.540000,1.000000,0.568627
41.137124,0.540000,1.000000,0.568627
41.471572,0.520000,1.000000,0.562092
41.806020,0.520000,1.000000,0.562092
42.140468,0.520000,1.000000,0.562092
42.474916,0.520000,1.000000,0.562092
42.809365,0.520000,1.000000,0.562092
43.143813,0.520000,1.000000,0.562092
43.478261,0.520000,1.000000,0.562092
43.812709,0.500000,1.000000,0.555556
44.147157,0.500000,1.000000,0.555556
44.481605,0.500000,1.000000,0.555556
44.816054,0.500000,1.000000,0.555556
45.150502,0.500000,1.000000,0.555556
45.484950,0.500000,1.000000,0.555556
45.819398,0.500000,1.000000,0.555556
46.153846,0.500000,1.000000,0.555556
46.488294,0.500000,1.000000,0.555556
46.822742,0.500000,1.000000,0.555556
47.157191,0.500000,1.000000,0.555556
47.491639,0.500000,1.000000,0.555556
47.826087,0.500000,1.000000,0.555556
48.160535,0.500000,1.000000,0.555556
48.494983,0.500000,1.000000,0.555556
48.829431,0.500000,1.000000,0.555556
49.163880,0.500000,1.000000,0.555556
49.498328,0.500000,1.000000,0.555556
49.832776,0.480000,1.000000,0.490196
50.167224,0.480000,1.000000,0.490196
50.501672,0.480000,1.000000,0.490196
50.836120,0.480000,1.000000,0.490196
51.170569,0.480000,1.000000,0.490196
51.505017,0.480000,1.000000,0.490196
51.839465,0.460000,1.000000,0.483660
52.173913,0.460000,1.000000,0.483660
52.508361,0.440000,1.000000,0.477124
52.842809,0.440000,1.000000,0.477124
53.177258,0.440000,1.000000,0.477124
53.511706,0.440000,1.000000,0.477124
53.846154,0.440000,1.000000,0.477124
54.180602,0.440000,1.000000,0.477124
54.515050,0.420000,1.000000,0.444444
54.849498,0.420000,1.000000,0.444444
55.183946,0.400000,1.000000,0.437908
55.518395,0.400000,1.000000,0.437908
55.852843,0.400000,1.000000,0.437908
56.187291,0.400000,1.000000,0.437908
56.521739,0.400000,1.000000,0.437908
56.856187,0.380000,1.000000,0.405229
57.190635,0.380000,1.000000,0.405229
57.525084,0.360000,1.000000,0.398693
57.859532,0.360000,1.000000,0.398693
58.193980,0.360000,1.000000,0.398693
58.528428,0.340000,1.000000,0.392157
58.862876,0.340000,1.000000,0.392157
59.197324,0.340000,1.000000,0.392157
59.531773,0.320000,1.000000,0.326797
59.866221,0.320000,1.000000,0.326797
60.200669,0.320000,1.000000,0.326797
60.535117,0.320000,1.000000,0.326797
60.869565,0.320000,1.000000,0.326797
61.204013,0.320000,1.000000,0.326797
61.538462,0.300000,1.000000,0.320261
61.872910,0.280000,1.000000,0.313725
62.207358,0.280000,1.000000,0.313725
62.541806,0.280000,1.000000,0.313725
62.876254,0.280000,1.000000,0.313725
63.210702,0.280000,1.000000,0.313725
63.545151,0.280000,1.000000,0.313725
63.879599,0.280000,1.000000,0.313725
64.214047,0.280000,1.000000,0.313725
64.548495,0.280000,1.000000,0.313725
64.882943,0.280000,1.000000,0.313725
65.217391,0.280000,1.000000,0.313725
65.551839,0.260000,1.000000,0.281046
65.886288,0.260000,1.000000,0.281046
66.220736,0.260000,1.000000,0.281046
66.555184,0.260000,1.000000,0.281046
66.889632,0.260000,1.000000,0.281046
67.224080,0.240000,1.000000,0.274510
67.558528,0.240000,1.000000,0.274510
67.892977,0.240000,1.000000,0.274510
68.227425,0.240000,1.000000,0.274510
68.561873,0.240000,1.000000,0.274510
68.896321,0.240000,1.000000,0.274510
69.230769,0.240000,1.000000,0.274510
69.565217,0.220000,1.000000,0.267974
69.899666,0.220000,1.000000,0.267974
70.234114,0.220000,1.000000,0.267974
70.568562,0.220000,1.000000,0.267974
70.903010,0.220000,1.000000,0.267974
71.237458,0.220000,1.000000,0.267974
71.571906,0.220000,1.000000,0.267974
71.906355,0.200000,1.000000,0.202614
72.240803,0.200000,1.000000,0.202614
72.575251,0.200000,1.000000,0.202614
72.909699,0.200000,1.000000,0.202614
73.244147,0.200000,1.000000,0.202614
73.578595,0.200000,1.000000,0.202614
73.913043,0.200000,1.000000,0.202614
74.247492,0.200000,1.000000,0.202614
74.581940,0.180000,1.000000,0.169935
74.916388,0.160000,1.000000,0.163399
75.250836,0.140000,1.000000,0.156863
75.585284,0.140000,1.000000,0.156863
75.919732,0.140000,1.000000,0.156863
76.254181,0.140000,1.000000,0.156863
76.588629,0.140000,1.000000,0.156863
76.923077,0.140000,1.000000,0.156863
77.257525,0.140000,1.000000,0.156863
77.591973,0.120000,1.000000,0.124183
77.926421,0.100000,1.000000,0.058824
78.260870,0.100000,1.000000,0.058824
78.595318,0.100000,1.000000,0.058824
78.929766,0.100000,1.000000,0.058824
79.264214,0.080000,1.000000,0.052288
79.598662,0.080000,1.000000,0.052288
79.933110,0.060000,1.000000,0.045752
80.267559,0.060000,1.000000,0.045752
80.602007,0.060000,1.000000,0.045752
80.936455,0.040000,1.000000,0.039216
81.270903,0.040000,1.000000,0.039216
81.605351,0.020000,0.000000,0.006536
81.939799,0.020000,0.000000,0.006536
82.274247,0.000000,0.000000,0.000000
82.608696,0.000000,0.000000,0.000000
82.943144,0.000000,0.000000,0.000000
83.277592,0.000000,0.000000,0.000000
83.612040,0.000000,0.000000,0.000000
83.946488,0.000000,0.000000,0.000000
84.280936,0.000000,0.000000,0.000000
84.615385,0.000000,0.000000,0.000000
84.949833,0.000000,0.000000,0.000000
85.284281,0.000000,0.000000,0.000000
85.618729,0.000000,0.000000,0.000000
85.953177,0.000000,0.000000,0.000000
86.287625,0.000000,0.000000,0.000000
86.622074,0.000000,0.000000,0.000000
86.956522,0.000000,0.000000,0.000000
87.290970,0.000000,0.000000,0.000000
87.625418,0.000000,0.000000,0.000000
87.959866,0.000000,0.000000,0.000000
88.294314,0.000000,0.000000,0.000000
88.628763,0.000000,0.000000,0.000000
88.963211,0.000000,0.000000,0.000000
89.297659,0.000000,0.000000,0.000000
89.632107,0.000000,0.000000,0.000000
89.966555,0.000000,0.000000,0.000000
90.301003,0.000000,0.000000,0.000000
90.635452,0.000000,0.000000,0.000000
90.969900,0.000000,0.000000,0.000000
91.304348,0.000000,0.000000,0.000000
91.638796,0.000000,0.000000,0.000000
91.973244,0.000000,0.000000,0.000000
92.307692,0.000000,0.000000,0.000000
92.642140,0.000000,0.000000,0.000000
92.976589,0.000000,0.000000,0.000000
93.311037,0.000000,0.000000,0.000000
93.645485,0.000000,0.000000,0.000000
93.979933,0.000000,0.000000,0.000000
94.314381,0.000000,0.000000,0.000000
94.648829,0.000000,0.000000,0.000000
94.983278,0.000000,0.000000,0.000000
95.317726,0.000000,0.000000,0.000000
95.652174,0.000000,0.000000,0.000000
95.986622,0.000000,0.000000,0.000000
96.321070,0.000000,0.000000,0.000000
96.655518,0.000000,0.000000,0.000000
96.989967,0.000000,0.000000,0.000000
97.324415,0.000000,0.000000,0.000000
97.658863,0.000000,0.000000,0.000000
97.993311,0.000000,0.000000,0.000000
98.327759,0.000000,0.000000,0.000000
98.662207,0.000000,0.000000,0.000000
